,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,CR id,Name,Discord
0,0.0,0.0,,,,,,
1,1.0,1.0,1.0,1.0,1.0,#8C9VL9PP,<c9>LE JF,5.952050604812534e+17
2,2.0,2.0,2.0,2.0,2.0,#8QY9R28,flo,8.493343338481582e+17
3,3.0,3.0,3.0,3.0,3.0,#2VG00RYLP,突然｜Trakeez™️,7.293925789941106e+17
4,4.0,4.0,4.0,4.0,4.0,#PGVC8GQ0,Rubenso,3.097610825312502e+17
5,5.0,5.0,5.0,5.0,5.0,#LLLGYP82,<c7>BiGBauD,4.6836780437078016e+17
6,6.0,6.0,6.0,6.0,6.0,#UURCCRUY,Arniol,2.1043733964888477e+17
7,7.0,7.0,7.0,7.0,7.0,#88C0G08P2,<c3>yORICK,6.455934676739031e+17
8,8.0,8.0,8.0,8.0,8.0,#GRRQV88LP,HiPeipers,8.058243361235272e+17
9,9.0,9.0,9.0,9.0,9.0,#9VRRJCP2,Oscarisback,2.943963571654492e+17
10,10.0,10.0,10.0,10.0,10.0,#LR2YCJ,Skrelow,2.4478773376201523e+17
11,11.0,11.0,11.0,11.0,11.0,#9P9JRR9YJ,wazdax,7.539798179881943e+17
12,12.0,12.0,12.0,12.0,12.0,#90QVYRLUQ,TepseurFou,6.961033550044858e+17
13,13.0,13.0,13.0,13.0,13.0,#C8898VY,Marius,5.054915550170317e+17
14,14.0,14.0,14.0,14.0,14.0,#8GVGQP2P,CrepAuNutella,9.079960173356032e+17
15,15.0,15.0,15.0,15.0,15.0,#PGQUL0UQ9,ElToNiNio,4.344415341804257e+17
16,16.0,16.0,16.0,16.0,16.0,#2YY0LVQP8,<c2>Lucas,5.663889481092301e+17
17,17.0,17.0,17.0,17.0,17.0,#8LV8GYGV,yoann302001,2.9326132462288896e+17
18,18.0,18.0,18.0,18.0,18.0,#P09UJVJ9,Scratch´,9.559398746393436e+17
19,19.0,19.0,19.0,19.0,19.0,#C28G009L,✨LegaCyy™︎✨,7.057565919572133e+17
20,20.0,20.0,20.0,20.0,20.0,#JU09V9PR,Tominus,6.9570738881613e+17
21,21.0,21.0,21.0,21.0,21.0,#9GQVQ90L8,Arthur Heros,6.928487676149761e+17
22,22.0,22.0,22.0,22.0,22.0,#PJGP80UL9,Toto216,6.297345219521413e+17
23,23.0,23.0,23.0,23.0,23.0,#8R098JGC,L’an_Tidote,9.525476038731407e+17
24,24.0,24.0,24.0,24.0,24.0,#2QLQ0JQGC,Althanos,3.7536343981346e+17
25,25.0,25.0,25.0,25.0,25.0,#2PY8GJJUL,Shady,2.913017652432077e+17
26,26.0,26.0,26.0,26.0,26.0,#PUPVRPPL,OXBOW,1.0115465511449478e+18
27,27.0,27.0,27.0,27.0,27.0,#899QGUVUY,X-Matth-66_,9.13726150927319e+17
28,28.0,28.0,28.0,28.0,28.0,#2LRGLPQP,jo EMPIRE man,2.8149833573767578e+17
29,29.0,29.0,29.0,29.0,29.0,#GC9JLY9VQ,⚪Ⓜ️ALLEZ L’OM⚪Ⓜ,8.380801575781663e+17
30,30.0,30.0,30.0,30.0,30.0,#2PV9RPQRP,tom,9.714715035750932e+17
31,31.0,31.0,31.0,31.0,31.0,#9Y0QRLVC,Elvin,9.446243793907428e+17
32,32.0,32.0,32.0,32.0,32.0,#Y0RPC0PRQ,matys,7.267737771526062e+17
33,33.0,33.0,33.0,33.0,33.0,#PCY2G8GQQ,Zayrok,9.370772982833073e+17
34,34.0,34.0,34.0,34.0,34.0,#GL0C9U,HM,7.616222075027456e+17
35,35.0,35.0,35.0,35.0,35.0,#80C280GY0,Tremyz,8.472401485631324e+17
36,36.0,36.0,36.0,36.0,36.0,#9VVVPP8Q,VaaCheneqck,3.344012662373089e+17
37,37.0,37.0,37.0,37.0,37.0,#2CYCCJL,tiseb,9.845904053477294e+17
38,38.0,38.0,38.0,38.0,38.0,#8QR9VG2LY,Bobo,9.97915625311703e+17
39,39.0,39.0,39.0,39.0,39.0,#9YVPG9JC,News,8.235334301718938e+17
40,40.0,40.0,40.0,40.0,40.0,#888800U2,Semper,5.772642111685919e+17
41,41.0,41.0,41.0,41.0,41.0,#PY89RRGU,diablitosyl,9.004602928808675e+17
42,42.0,42.0,42.0,42.0,42.0,#2J9J2GUCC,Stylo.exe,4.003370388443628e+17
43,43.0,43.0,43.0,43.0,43.0,#YLYPRYP2G,toulix,9.633324708105092e+17
44,44.0,44.0,44.0,44.0,44.0,#YG2V2QVLG,⛩✨Clem_arc-x✨⛩,7.931201619305431e+17
45,45.0,45.0,45.0,45.0,45.0,#G909YC8Q,Junior26,7.048546417324851e+17
46,46.0,46.0,46.0,46.0,46.0,#YG0V0YVPP,~Eloise27~,8.245763766684221e+17
47,47.0,47.0,47.0,47.0,47.0,#G0YVGV88Q,2>kevin❤️txr⚡️,1.002274526777852e+18
48,48.0,48.0,,,,#YLLVYYRU,TxLast,1.5067389996367872e+17
49,49.0,,,,,#8GVGQP2P,CrepAuNutella,<@793120161930543155>
50,,,,,,#8GVGQP2P,CrepAuNutella,CaptainPirate#4574
